Account Name,Product Name,Quantity,Offered Price (converted),Subscription Product ARR (converted)
Databook,Call AI,124,32.26,40002.4
Tenable,Call AI,150,90,135000
NAVEX,Call AI,200,20.35,40700
Sophos,Call AI,400,40,160000
Splunk,Call AI,710,30.3,258156
Paytronix,Call AI,8,54.25,4340.32
Vareto,Call AI,10,78,7800
APS Payroll,Call AI,10,64.97,6497.38
Menemsha Group,Call AI,12,30,3600
Aurigo Software Technologies,Call AI,12,58.24,6989.18
Access Intelligence Plc,Call AI,12,72.6,8712.49
EIGENSONNE,Call AI,27,45.65,12326.79
Paytronix,Call AI,37,44.88,16605.95
LightEdge Solutions,Call AI,50,78,39000
11:11 Systems,Call AI,51,37.5,19125
Thomson Reuters,Call AI,300,49.7,149100
Studio Enterprise,Call AI,393,53.04,208447.2
GoTo,Call AI,550,38.69,212770.16
APS Payroll,Call AI,22,46.56,10242.19
Paytronix,Call AI,41,45.06,18476.42
Heimdal Security,Call AI,45,77.26,34766.87
CleverTap APAC,Call AI,85,11.36,9659.09
CleverTap APAC,Call AI,90,7,6300
Whatfix,Call AI,225,31.83,85940.72
ShareFile,Digital Sales Rooms,6,7.2,432.22
Paytronix,Digital Sales Rooms,8,12.52,1001.61
Vareto,Digital Sales Rooms,10,12.76,1276.36
APS Payroll,Digital Sales Rooms,10,14.99,1499.4
Lonza USA,Digital Sales Rooms,10,12.32,616
Aurigo Software Technologies,Digital Sales Rooms,12,13.44,1612.89
Keyfactor,Digital Sales Rooms,15,11.95,2150.85
Unravel Data,Digital Sales Rooms,15,6.19,464.36
SEVENROOMS,Digital Sales Rooms,15,11.13,1669.09
Sycurio,Digital Sales Rooms,20,12.1,2420.14
Vericast,Digital Sales Rooms,20,12,1200
Vic AI,Digital Sales Rooms,20,7.2,720.36
APS Payroll,Digital Sales Rooms,22,10.74,2363.58
Syndigo,Digital Sales Rooms,24,7,840.13
Keyfactor,Digital Sales Rooms,25,10.28,3084.68
Collective Health,Digital Sales Rooms,26,5.14,668.4
SchoolStatus,Digital Sales Rooms,26,12.84,1669.2
Wazoku Ltd,Digital Sales Rooms,30,7.2,1080.54
"Uptycs, Inc",Digital Sales Rooms,30,6.61,991.58
Kobiton,Digital Sales Rooms,30,7.2,1079.72
Harley-Davidson,Digital Sales Rooms,30,17.28,5184
Stream.IO,Digital Sales Rooms,32,14.89,5718.02
Notable,Digital Sales Rooms,37,5.73,2119.77
SkyHive,Digital Sales Rooms,40,15,7200
Notable,Digital Sales Rooms,40,5.73,1145.82
Paytronix,Digital Sales Rooms,41,10.4,4263.79
Cyara,Digital Sales Rooms,45,12,2700
Heimdal Security,Digital Sales Rooms,45,17.83,8023.12
Telix Pharmaceuticals Limited,Digital Sales Rooms,50,7.2,3599.05
Tive,Digital Sales Rooms,50,7.2,1800.9
Service Corporation International,Digital Sales Rooms,50,7.92,1980
Pubnub,Digital Sales Rooms,50,13.5,8100
WeWork APAC,Digital Sales Rooms,50,3.14,1568.18
Amazon Business,Digital Sales Rooms,50,12.71,6355.93
Alkami Technology,Digital Sales Rooms,50,35,17500
11:11 Systems,Digital Sales Rooms,51,8,4080
Beyond Menu,Digital Sales Rooms,51,11.18,6842.99
Conviva,Digital Sales Rooms,55,14.25,9405
Conviva,Digital Sales Rooms,55,13.5,8910
Venafi,Digital Sales Rooms,60,6.98,2094
Resonate,Digital Sales Rooms,61,7.2,4394.2
Resonate,Digital Sales Rooms,61,7.2,2197.1
Telix Pharmaceuticals Limited,Digital Sales Rooms,75,7.2,2699.29
SirionLabs,Digital Sales Rooms,80,8.21,3284.84
Mahindra Comviva,Digital Sales Rooms,100,5.03,2515.54
Wasabi Technologies Inc,Digital Sales Rooms,120,7.2,4318.86
Sumo Logic,Digital Sales Rooms,140,9.1,12737.45
Lonza USA,Digital Sales Rooms,150,11.16,16740
Flexential,Digital Sales Rooms,175,15.82,27678.18
Tenable,Digital Sales Rooms,175,6.67,11672.5
Spendesk,Digital Sales Rooms,180,7.49,16174.73
Cribl,Digital Sales Rooms,200,9.72,19438.98
Whatfix,Digital Sales Rooms,225,7.35,19832.47
Riskified,Digital Sales Rooms,230,5.36,6169.51
Bottomline Technologies,Digital Sales Rooms,361,3.99,14403.9
Alight Solutions,Digital Sales Rooms,500,5.73,14322.75
GoTo,Digital Sales Rooms,550,8.93,49100.81
WeWork,Digital Sales Rooms,575,3.14,18034.09
Darktrace,Digital Sales Rooms,1081,2.36,25507.62
Tenable,Digital Sales Rooms,1100,3.75,20625
Twilio,Digital Sales Rooms,1275,6.35,97129.07
Rackspace Hosting,Digital Sales Rooms,1500,2.25,20250
Thomson Reuters,Digital Sales Rooms,3100,3.55,110162.73
Ford Motor,Digital Sales Rooms,500000,0.14,699152.54
Sycurio,Training Essentials ,500,3025.17,30251.69
ShareFile,Training Essentials ,100,208.33,2083.3
Greenhouse Software,Training Essentials ,100,477.08,4770.8
Bryte Learn,Training Essentials ,100,416.67,5000.04
SkyHive,Training Essentials ,100,416.67,5000.04
VAST Data,Training Essentials ,100,250,2500
LimFlow,Training Essentials ,100,416.67,4166.7
Flexential,Training Essentials ,100,1250,12500
S&P Global,Training Essentials ,500,1800,18000
SecureAuth Corporation,Training Essentials ,100,500,5000
Mallinckrodt Pharmaceuticals,Training Essentials ,500,3024,30240
Paytronix,Training Essentials ,100,416.67,4166.7
Venafi,Training Essentials ,100,90,900
Splunk,Training Essentials ,5000,6250,75000
Powercloud GmbH,Training Essentials ,500,1800,18000
Five Star Home Foods,Training Essentials ,100,1000,10000
Rackspace Hosting,Training Essentials ,100,625,7500
Twilio,Training Essentials ,500,1125,13500
Freshworks,Training Essentials ,500,1041.67,12500.04
BazaarVoice,Training Essentials ,100,500,5000
Bluebeam,Training Essentials ,500,1500,15000
Okta,Training Essentials ,5000,6750,67500
Vic AI,Training Essentials ,500,420,4200
Mallinckrodt Pharmaceuticals,Training Essentials ,500,2950.7,59014
Mallinckrodt Pharmaceuticals,Training Essentials ,100,590.14,11802.8
SOCi Inc.,Training Essentials ,500,936.25,22470
Eightfold.ai,Training Essentials ,100,500,10000
LinkedIn,Training Essentials ,500,1500,30000
Thomson Reuters,Training Essentials ,500,1350,40500
RSA Security LLC,Training Essentials ,100,324,9720
Gigamon,Training Essentials ,100,250,9000
MetricStream,Training Essentials ,100,291.67,8750.1
RSA Security LLC,Training Essentials ,100,324,12960
Cisco Systems,Training Essentials ,100000,11695.06,584753
3D Apartment Inc,Professional Package + Spaced Reinforcements,6,34.72,2083.2
Crux Informatics,Professional Package + Spaced Reinforcements,20,38.4,7680
AltiSales,Professional Package + Spaced Reinforcements,27,28.8,7776
UpGuard,Professional Package + Spaced Reinforcements,31,30,11160
Touchstone Securities Inc.,Professional Package + Spaced Reinforcements,35,36,12600
Sonrai Security,Professional Package + Spaced Reinforcements,35,35,12250
Veryan Medical,Professional Package + Spaced Reinforcements,36,42,15120
UpGuard,Professional Package + Spaced Reinforcements,45,30,16200
Amagi,Professional Package + Spaced Reinforcements,60,23.98,14388
Touchstone Securities Inc.,Professional Package + Spaced Reinforcements,65,36,23400
abnormalsecurity,Professional Package + Spaced Reinforcements,65,27,17550
ABBYY,Professional Package + Spaced Reinforcements,100,15,15000
Menlo Security,Professional Package + Spaced Reinforcements,130,22.22,28886
Zenjob,Professional Package + Spaced Reinforcements,150,25,45000
abnormalsecurity,Professional Package + Spaced Reinforcements,168,21.6,36288
Rework training,Professional Package + Spaced Reinforcements,200,11.75,28200
Progressive Leasing,Professional Package + Spaced Reinforcements,240,20,57600
Powercloud GmbH,Professional Package + Spaced Reinforcements,350,22,77000
GlaxoSmithKline Global,Professional Package + Spaced Reinforcements,425,4.81,20442.5
Automation Anywhere,Professional Package + Spaced Reinforcements,435,11,57420
Okta,Professional Package + Spaced Reinforcements,500,20,100000
Okta,Professional Package + Spaced Reinforcements,500,18.5,92500
Greenhouse Software,Professional Package + Spaced Reinforcements,600,19.05,114300
LinkedIn,Professional Package + Spaced Reinforcements,750,20,150000
Appier,Professional Package + Spaced Reinforcements,1000,7.27,72700
Okta,Professional Package + Spaced Reinforcements,1000,20,200000
Okta,Professional Package + Spaced Reinforcements,1192,17.26,205739.2
OpenText,Professional Package + Spaced Reinforcements,1980,6.71,159429.6
Juniper Networks,Professional Package + Spaced Reinforcements,2333,5.64,157897.44
ShareFile,Premier Package,6,16.91,1014.3
ShareFile,Premier Package,9,27,2429.97
Collective Health,Premier Package,15,17.31,2596.13
RetailNext,Premier Package,17,18.9,3212.96
Okendo,Premier Package,20,16.51,3301.64
Accelerate Performance Sales Consulting,Premier Package,20,27,5399.94
Vic AI,Premier Package,20,16.91,3381
DataVisor,Premier Package,22,16.51,3631.8
Syndigo,Premier Package,24,16.43,3943.13
Collective Health,Premier Package,26,21.29,5534.62
Wazoku Ltd,Premier Package,30,16.91,5071.5
"Uptycs, Inc",Premier Package,30,27.37,8210.7
Power Factors Inc.,Premier Package,30,13.99,4197
Kobiton,Premier Package,30,29.8,8940.54
Notable,Premier Package,37,23.72,8776.33
Notable,Premier Package,40,23.72,9487.92
Telix Pharmaceuticals Limited,Premier Package,50,29.8,14900.9
Tive,Premier Package,50,16.91,8452.5
Nowsta Inc,Premier Package,50,13.71,6855.1
Immuta,Premier Package,60,27,16199.82
Resonate,Premier Package,61,16.91,10312.05
Resonate,Premier Package,61,16.91,10312.05
Syndigo,Premier Package,66,16.04,10588.86
Telix Pharmaceuticals Limited,Premier Package,75,29.8,22351.35
SirionLabs,Premier Package,80,19.27,15417.36
Wasabi Technologies Inc,Premier Package,120,29.8,35762.16
Riskified,Premier Package,230,22.21,51086.37
Alight Solutions,Premier Package,500,23.72,118599
TargetRecruit LLC,Spaced Reinforcements,9,3.77,339.13
ActZero,Spaced Reinforcements,10,3.43,343.32
Vivaro Digital,Spaced Reinforcements,10,2.64,263.83
cloudtalk,Spaced Reinforcements,30,3.63,1089.07
SirionLabs,Spaced Reinforcements,30,2.76,826.77
MetricStream,Spaced Reinforcements,33,3.26,1076.53
UpGuard,Spaced Reinforcements,45,3.93,2124.79
Okendo,Spaced Reinforcements,60,3.51,2108.71
Zuddl,Spaced Reinforcements,75,4.12,3090.38
MetricStream,Spaced Reinforcements,77,1.78,1370.13
Mahindra Comviva,Spaced Reinforcements,100,0.82,820.97
Forter,Spaced Reinforcements,100,1.61,1928.7
Vic AI,Spaced Reinforcements,100,2.14,2143
ShareFile,Spaced Reinforcements,140,4.29,6000.4
Caring.com,Spaced Reinforcements,150,3.09,4628.88
Viiv Healthcare,Spaced Reinforcements,150,1.28,2304
RSA Security LLC,Spaced Reinforcements,175,3.19,5580.37
Kentik,Spaced Reinforcements,220,3.64,8014.82
Viiv Healthcare,Spaced Reinforcements,300,1.25,3750
GlaxoSmithKline Global,Spaced Reinforcements,500,1.25,6250
Amplitude,Spaced Reinforcements,820,1.74,14233.81
RadNet,Spaced Reinforcements,1500,1.55,23208.69
LinkedIn,Spaced Reinforcements,9250,2.36,218050.25
Juniper Networks,Spaced Reinforcements,25000,0.57,171440
TargetRecruit LLC,Essentials Package,9,5.02,452.08
ActZero,Essentials Package,10,4.58,457.66
cloudtalk,Essentials Package,30,4.84,1451.93
SirionLabs,Essentials Package,30,3.67,1102.23
MetricStream,Essentials Package,33,4.35,1435.07
UpGuard,Essentials Package,45,5.25,2833.06
Okendo,Essentials Package,60,4.69,2811.29
Zuddl,Essentials Package,75,5.49,4119.62
MetricStream,Essentials Package,77,2.37,1826.45
Mahindra Comviva,Essentials Package,100,1.09,1094.5
Forter,Essentials Package,100,2.14,2571.3
Vic AI,Essentials Package,100,2.86,2857
ShareFile,Essentials Package,140,5.71,7999.6
Caring.com,Essentials Package,150,4.11,6171.12
RSA Security LLC,Essentials Package,175,4.25,7439.63
Kentik,Essentials Package,220,4.86,10685.18
Amplitude,Essentials Package,820,2.31,18976.19
RadNet,Essentials Package,1500,2.06,30941.31
LinkedIn,Essentials Package,9250,3.14,290699.75
Juniper Networks,Essentials Package,25000,0.76,228560
Vivaro Digital,Professional Package,10,23.45,2345.18
Unravel Data,Professional Package,15,17.03,2554.24
Unravel Data,Professional Package,15,15.83,2374.52
Workiz Inc,Professional Package,20,17,3400.54
Prescryptive Health,Professional Package,30,17,5100.81
LimFlow,Professional Package,30,17,5100.81
Singular Genomics,Professional Package,30,17,5100.81
Workiz Inc,Professional Package,30,17,5100.81
Scientia Vascular LLC,Professional Package,30,17,5100.81
Tripleseat,Professional Package,60,15.3,9181.46
Syndigo,Professional Package,105,16.53,17354.19
Securonix,Professional Package,200,17,34005.4
ShareFile,Professional Package,222,17,37745.99
NAVEX,Virtual Role-Play (Missions + Quick Update),50,5.76,2880
NAVEX,Virtual Role-Play (Missions + Quick Update),50,5.51,2755
Novartis,Virtual Role-Play (Missions + Quick Update),50,8,4800
Novartis,Virtual Role-Play (Missions + Quick Update),63,8,6048
Bryte Learn,Virtual Role-Play (Missions + Quick Update),100,0.83,996
Kentik,Virtual Role-Play (Missions + Quick Update),110,7.5,8250
NuVasive,Virtual Role-Play (Missions + Quick Update),150,14.49,26082
Mendix EMEA,Virtual Role-Play (Missions + Quick Update),210,8.7,18270
Amplitude,Virtual Role-Play (Missions + Quick Update),475,3.99,18952.5
Alcon,Virtual Role-Play (Missions + Quick Update),1500,7.07,127301.09
Alembic Pharmaceuticals,Virtual Role-Play (Missions + Quick Update),1700,0.74,15178.57
